distance,consume,speed,temp_outside,gas_type,ac,rain,sun
28.0,5.0,26,12,E10,0,0,0
12.0,4.2,30,13,E10,0,0,0
11.2,5.5,38,15,E10,0,0,0
12.9,3.9,36,14,E10,0,0,0
18.5,4.5,46,15,E10,0,0,0
8.3,6.4,50,10,E10,0,0,0
7.8,4.4,43,11,E10,0,0,0
12.3,5.0,40,6,E10,0,0,0
4.9,6.4,26,4,E10,0,0,0
11.9,5.3,30,9,E10,0,0,0
12.4,5.6,42,4,E10,0,0,0
11.8,4.6,38,0,E10,0,0,0
12.3,5.9,59,10,E10,0,0,0
24.7,5.1,58,12,E10,0,0,0
12.4,4.7,46,11,E10,0,0,0
17.3,5.1,24,5,E10,0,0,0
33.4,5.6,36,3,E10,0,0,0
11.8,5.1,32,3,E10,0,0,0
25.9,4.9,39,8,E10,0,0,0
11.8,4.7,40,4,E10,0,0,0
25.3,5.5,32,3,E10,0,0,0
14.2,5.9,38,1,E10,0,0,0
17.9,5.7,37,1,E10,0,0,0
11.8,4.7,36,1,E10,0,0,0
12.3,5.9,62,6,E10,0,0,0
12.4,4.1,57,9,E10,0,0,0
18.4,5.7,21,2,E10,0,0,0
18.4,5.8,28,3,E10,0,0,0
18.3,5.5,29,1,E10,0,0,0
18.4,5.7,35,4,E10,0,0,0
12.3,5.3,51,11,E10,0,0,0
11.8,5.0,29,10,E10,0,0,0
12.3,5.6,58,8,E10,0,0,0
32.6,4.8,40,7,E10,0,0,0
19.0,4.3,36,7,E10,0,0,0
12.1,5.7,36,8,E10,0,0,0
20.0,5.2,37,4,E10,0,0,0
4.9,7.4,26,6,E10,0,0,0
11.8,4.8,23,9,E10,0,0,0
12.3,6.5,58,7,E10,0,0,0
12.4,4.0,55,7,E10,1,1,0
4.5,5.0,29,7,E10,1,0,0
11.7,4.6,37,6,E10,0,0,0
10.2,4.3,44,7,E10,0,0,0
5.4,3.3,32,7,SP98,0,0,0
2.0,9.9,21,4,SP98,0,0,0
14.2,5.1,32,7,SP98,0,0,0
16.0,4.9,25,8,SP98,0,0,0
11.8,4.9,25,11,SP98,0,0,0
27.3,4.7,36,10,SP98,0,0,0
11.8,5.1,29,5,SP98,0,1,0
10.6,4.9,63,6,SP98,0,0,0
11.6,4.2,61,7,SP98,0,0,0
13.1,6.1,46,6,SP98,0,1,0
6.1,6.4,28,8,SP98,0,0,0
153.5,4.9,82,3,SP98,0,1,0
11.8,4.9,24,7,SP98,0,0,0
12.3,6.2,61,8,SP98,0,0,0
12.4,4.2,57,8,SP98,0,0,0
12.3,5.7,52,8,SP98,0,1,0
2.9,7.9,18,9,SP98,1,1,0
2.1,12.2,23,9,SP98,1,1,0
9.8,5.8,24,6,SP98,0,0,0
6.8,5.3,26,6,SP98,0,0,0
12.4,5.4,24,7,SP98,0,0,0
12.4,4.7,57,8,SP98,0,0,0
11.8,4.6,41,6,SP98,0,0,0
12.3,5.4,55,8,SP98,0,0,0
14.0,4.3,40,8,SP98,0,0,0
11.8,4.5,37,4,SP98,1,0,0
12.3,5.2,55,12,SP98,0,0,0
2.0,6.2,20,10,SP98,0,0,0
13.9,5.1,29,6,SP98,0,0,0
9.7,3.9,42,8,SP98,0,0,0
11.6,5.0,25,6,SP98,0,0,0
14.2,5.4,38,7,SP98,0,0,0
11.8,4.5,39,6,SP98,0,0,0
24.8,5.1,50,9,SP98,0,0,0
12.4,4.7,56,7,SP98,0,0,0
34.8,4.0,28,4,SP98,0,0,0
14.2,5.4,36,6,SP98,0,0,0
5.2,4.5,39,10,SP98,0,0,0
10.5,3.6,42,10,SP98,0,0,0
12.3,5.2,57,10,SP98,0,0,0
11.8,4.9,25,11,SP98,0,0,0
12.3,6.2,58,11,SP98,0,1,0
13.2,4.3,51,11,SP98,0,1,0
13.0,5.0,45,11,SP98,0,1,0
12.9,5.1,32,11,SP98,0,0,0
13.9,5.6,22,8,SP98,0,0,0
11.8,4.3,37,6,SP98,0,0,0
12.2,5.8,60,11,SP98,0,0,0
12.5,4.0,51,13,SP98,0,0,0
12.4,4.7,43,10,SP98,0,0,0
11.8,5.9,21,9,SP98,1,1,0
11.8,5.3,52,11,SP98,0,0,0
12.5,4.2,57,11,SP98,0,0,0
15.7,5.3,33,9,SP98,0,0,0
12.9,5.7,35,9,SP98,0,0,0
6.4,4.4,37,10,SP98,0,0,0
5.3,4.1,34,9,SP98,0,0,0
26.2,5.8,71,8,SP98,1,1,0
18.8,5.0,62,9,SP98,0,1,0
4.9,6.9,25,12,SP98,0,1,0
12.4,5.4,18,11,SP98,1,1,0
22.9,5.3,45,7,SP98,0,0,0
162.7,5.5,75,1,SP98,0,0,0
4.9,6.5,26,1,SP98,0,0,0
11.8,4.7,36,4,SP98,0,0,0
16.6,5.1,56,7,SP98,0,0,0
12.4,5.7,37,7,SP98,0,0,0
15.9,5.4,25,7,SP98,0,0,0
5.1,8.7,21,5,SP98,0,0,0
22.4,4.9,66,7,SP98,0,0,0
31.1,4.7,42,7,SP98,0,0,0
4.9,6.3,27,3,SP98,0,0,0
11.8,5.1,26,4,SP98,0,1,0
22.9,6.0,42,4,SP98,0,1,0
12.4,4.6,38,1,SP98,0,1,0
12.9,5.8,40,4,SP98,0,0,0
11.8,5.1,43,0,SP98,0,0,0
12.2,5.8,58,2,SP98,0,0,0
24.8,4.6,55,3,SP98,0,0,0
14.2,5.6,24,8,SP98,0,0,0
11.8,4.6,38,0,SP98,0,1,0
12.2,6.3,57,0,SP98,0,1,0
24.7,5.5,56,1,SP98,0,0,0
6.8,4.3,46,2,SP98,0,0,0
17.3,5.6,37,1,SP98,0,0,0
11.8,4.3,44,-3,SP98,0,0,0
15.9,5.7,46,5,SP98,0,0,0
5.1,6.4,39,4,SP98,0,0,0
16.1,4.5,33,6,SP98,0,0,0
11.8,4.5,43,3,SP98,0,0,0
4.2,6.0,26,5,SP98,0,0,0
17.4,5.1,30,5,SP98,0,0,0
23.5,6.0,25,5,SP98,0,1,0
11.8,4.5,38,5,SP98,0,1,0
12.3,6.1,61,10,SP98,0,1,0
16.1,5.4,24,7,E10,0,1,0
11.8,4.3,40,10,E10,0,1,0
12.3,5.4,58,13,E10,0,0,0
12.4,4.3,49,17,E10,0,0,0
7.0,5.2,25,17,E10,0,0,0
11.8,4.1,37,10,E10,0,0,0
20.1,4.4,41,18,E10,0,0,0
20.8,4.5,45,10,E10,0,0,0
1.7,10.8,14,10,E10,0,1,0
35.9,4.7,45,12,E10,0,0,0
36.9,4.8,52,5,E10,0,0,0
16.8,4.0,46,8,E10,0,0,0
9.9,5.0,28,9,E10,0,0,0
22.9,4.6,61,7,E10,0,1,0
17.3,5.0,61,6,E10,1,1,0
11.8,4.3,37,7,E10,0,0,0
36.6,5.2,80,7,E10,0,1,0
44.9,4.7,62,8,E10,0,0,0
11.8,4.2,34,9,E10,0,1,0
21.6,5.3,44,9,E10,0,1,0
39.4,5.3,60,9,E10,0,1,0
5.1,8.1,39,4,E10,0,0,0
26.6,4.8,38,7,E10,0,0,0
53.2,5.1,71,2,E10,0,0,0
18.9,4.4,53,2,E10,0,0,0
43.5,5.0,80,3,E10,0,0,0
6.1,6.3,26,5,E10,0,0,0
16.4,4.8,49,5,E10,0,0,0
12.3,6.1,40,6,E10,0,0,0
21.1,4.6,36,8,E10,0,0,0
21.1,4.8,43,7,E10,0,0,0
22.7,4.7,55,6,E10,0,0,0
44.4,4.8,38,8,E10,0,0,0
35.8,4.4,51,6,E10,0,0,0
11.8,4.9,44,0,E10,0,0,0
26.2,4.9,42,6,E10,0,0,0
40.6,4.4,44,3,E10,0,0,0
12.4,5.3,38,-5,E10,0,0,0
14.1,5.3,47,-3,E10,0,0,0
58.7,4.8,75,0,E10,0,0,0
16.2,5.2,29,0,E10,0,0,0
12.3,4.9,50,0,E10,0,0,0
12.3,7.1,52,0,E10,1,1,0
12.4,5.2,51,1,E10,0,0,0
31.8,4.7,59,3,E10,0,0,0
12.3,5.1,55,8,E10,0,0,0
51.6,5.0,73,12,E10,0,0,0
38.6,4.6,44,10,E10,0,0,0
12.3,4.8,41,7,E10,0,0,0
81.2,4.4,69,13,E10,0,0,0
130.3,4.6,85,12,E10,0,0,0
67.2,4.3,67,18,E10,0,0,0
43.7,4.7,44,9,SP98,0,1,0
12.1,4.2,43,4,SP98,0,0,0
56.1,4.8,82,13,SP98,0,0,0
39.0,4.1,61,16,SP98,0,0,0
11.8,4.5,41,13,SP98,0,0,0
38.5,4.8,63,14,SP98,0,0,0
28.2,4.6,54,14,SP98,0,0,0
2.9,7.4,24,14,SP98,0,0,0
6.1,5.6,24,13,SP98,0,0,0
19.6,4.9,43,13,SP98,0,0,0
22.2,3.8,42,15,SP98,0,0,0
13.6,4.5,44,18,SP98,0,0,0
12.6,4.1,33,17,SP98,0,0,0
8.7,5.3,28,12,SP98,1,1,0
7.9,4.7,31,12,SP98,1,0,0
2.4,9.0,26,10,SP98,0,0,0
4.9,6.3,26,10,SP98,0,0,0
18.1,3.6,36,19,SP98,0,0,0
25.9,3.7,39,21,SP98,0,0,0
1.3,11.5,21,10,SP98,0,0,0
14.1,5.0,22,12,SP98,0,0,0
13.4,5.5,31,9,SP98,0,0,0
6.4,4.7,33,8,SP98,0,0,0
12.9,4.5,42,13,SP98,0,0,0
12.1,4.4,33,5,SP98,0,0,0
15.7,4.1,32,13,SP98,0,0,0
16.2,4.4,26,11,SP98,0,0,0
12.8,4.6,22,12,SP98,0,0,0
19.0,4.4,58,17,SP98,0,0,1
29.0,4.0,27,12,SP98,0,0,0
12.1,5.0,32,9,SP98,0,0,0
12.3,5.2,55,10,SP98,0,0,0
24.8,4.0,56,11,SP98,0,0,0
12.9,5.1,34,8,SP98,0,1,0
11.8,4.5,39,3,SP98,0,0,0
31.4,4.6,62,11,SP98,0,0,0
19.0,5.1,53,4,SP98,0,1,0
13.0,5.7,38,3,SP98,1,1,0
11.8,4.8,42,2,SP98,0,0,0
13.0,6.2,32,4,SP98,0,0,0
11.8,5.0,43,1,SP98,0,0,0
27.1,5.0,69,8,SP98,0,0,0
5.2,4.6,38,8,SP98,0,0,0
19.0,4.5,29,10,E10,0,0,0
12.4,4.8,38,1,E10,0,0,0
25.2,5.0,55,9,E10,0,0,0
14.3,4.8,36,10,E10,0,0,0
11.8,4.6,40,2,E10,0,0,0
16.9,4.5,48,9,E10,0,0,1
12.4,4.6,55,11,E10,0,0,1
17.4,4.4,36,12,E10,0,0,1
9.2,5.7,33,8,E10,0,1,0
12.3,5.8,54,10,E10,0,1,0
13.0,5.9,32,10,E10,0,0,0
11.8,6.1,16,6,E10,0,1,0
13.0,5.7,37,11,E10,0,1,0
12.3,5.0,42,10,E10,0,0,0
12.3,5.2,57,15,E10,0,0,1
12.5,4.3,57,16,E10,0,0,1
31.5,4.1,30,16,E10,0,0,1
11.8,4.4,42,8,E10,0,0,0
24.9,4.5,53,14,E10,0,0,0
17.0,3.9,46,14,E10,0,0,1
2.0,8.1,20,14,E10,0,0,0
11.8,4.4,33,8,E10,0,0,0
7.4,5.0,31,12,E10,0,0,0
12.4,4.7,55,14,E10,0,0,1
2.0,6.0,22,14,E10,0,0,0
14.0,5.0,41,8,E10,0,0,0
25.7,5.0,45,7,E10,0,0,0
24.5,3.9,50,15,E10,0,0,1
11.8,4.5,28,12,E10,0,0,0
4.1,5.4,24,13,E10,0,0,0
4.2,5.6,29,17,E10,0,0,0
4.2,3.9,29,18,E10,0,0,1
16.0,4.0,40,10,E10,0,0,0
22.9,4.0,29,21,E10,0,0,0
16.0,3.8,42,8,E10,0,0,0
15.4,4.5,50,14,E10,0,0,0
16.0,3.8,41,12,E10,0,0,0
4.2,5.6,32,18,E10,0,0,0
101.9,5.2,75,18,E10,0,0,0
93.9,4.8,88,18,E10,1,0,1
25.7,4.9,50,10,SP98,0,1,0
16.0,4.1,40,10,SP98,0,0,0
16.1,4.5,32,19,SP98,0,0,0
16.0,4.4,40,7,SP98,1,1,0
16.0,4.5,41,11,SP98,0,0,0
24.7,4.5,26,10,SP98,0,0,0
16.0,3.9,42,8,SP98,0,0,0
15.4,4.6,43,16,SP98,0,0,0
16.0,3.8,40,8,SP98,0,0,0
32.1,4.5,50,16,SP98,0,0,0
25.9,4.4,40,14,SP98,0,0,0
48.6,4.3,44,12,SP98,0,0,0
37.2,4.0,45,20,SP98,0,0,1
28.8,3.9,35,15,SP98,0,0,1
6.7,5.0,30,17,SP98,0,0,0
7.4,4.1,25,18,SP98,0,0,1
17.3,4.1,22,25,SP98,0,0,1
6.6,5.6,43,16,SP98,0,0,0
14.3,4.1,26,20,SP98,0,0,0
13.3,4.6,33,18,SP98,0,0,0
8.3,4.9,26,23,SP98,0,0,0
12.7,4.5,39,27,SP98,0,0,1
16.5,4.1,47,14,SP98,0,0,0
20.6,4.1,38,21,SP98,0,0,0
16.3,4.5,58,16,SP98,0,0,0
18.7,4.2,65,18,SP98,1,0,1
36.5,3.9,54,18,SP98,0,0,1
19.0,5.0,35,15,SP98,1,0,1
16.6,4.4,46,5,SP98,1,0,0
29.9,4.5,32,18,SP98,1,0,0
16.0,3.8,42,11,SP98,0,0,0
21.1,5.1,33,10,SP98,0,1,0
16.0,3.9,40,10,SP98,0,0,0
11.9,5.3,34,13,SP98,0,0,0
10.1,4.2,35,16,SP98,0,0,0
31.9,4.3,33,16,SP98,0,0,0
18.7,4.0,60,13,SP98,0,0,0
10.8,4.7,48,17,SP98,0,0,1
19.8,4.0,56,17,SP98,0,0,1
11.3,4.3,38,17,SP98,0,0,0
11.5,5.3,53,15,SP98,0,0,0
21.4,5.2,51,13,SP98,0,0,0
32.0,4.9,53,15,SP98,0,0,0
41.9,4.7,53,14,SP98,0,0,0
211.0,4.6,80,20,SP98,0,0,0
216.1,5.3,90,21,SP98,0,0,1
25.5,3.6,27,27,SP98,0,0,1
16.6,4.2,52,15,SP98,0,1,0
25.9,4.1,43,24,SP98,0,0,0
16.5,4.0,48,15,SP98,0,0,0
22.1,3.9,29,26,SP98,0,0,0
16.6,3.7,49,17,E10,0,0,0
15.4,4.5,43,24,E10,0,0,0
16.5,3.9,43,17,E10,0,0,0
15.4,5.1,21,24,E10,0,0,0
18.4,4.2,59,24,E10,0,0,0
39.5,4.2,58,25,E10,0,0,0
21.5,4.8,47,27,E10,1,0,1
4.8,4.7,26,18,E10,0,0,0
100.9,4.7,87,22,E10,0,0,0
129.7,4.6,58,21,E10,0,0,0
16.6,3.8,43,16,E10,0,0,0
15.4,4.2,50,21,E10,0,0,0
16.0,3.7,45,17,E10,0,0,0
16.0,4.2,41,15,E10,0,0,0
15.4,4.1,45,24,E10,0,0,0
16.0,4.0,43,16,E10,0,0,0
21.0,3.8,37,21,E10,0,0,0
15.4,3.8,47,24,E10,0,0,0
16.0,3.8,42,17,E10,0,0,0
16.1,5.1,30,16,E10,1,1,0
16.0,4.0,42,15,E10,0,0,0
15.4,4.8,40,18,E10,0,0,0
17.2,3.9,35,16,E10,0,0,0
16.6,4.6,50,25,E10,0,0,0
18.3,4.3,46,16,SP98,0,0,0
16.1,4.8,36,18,SP98,0,1,0
16.0,4.1,46,17,SP98,0,0,0
16.3,4.0,35,23,SP98,0,0,0
16.0,3.7,44,16,SP98,0,0,0
18.3,4.3,46,23,SP98,0,0,0
4.5,5.2,23,23,SP98,0,0,1
17.0,4.2,48,16,SP98,0,0,0
6.1,5.0,35,18,SP98,0,0,0
6.1,5.0,33,24,SP98,0,0,1
17.3,4.2,36,22,SP98,0,0,0
6.0,4.8,27,17,SP98,0,0,0
16.0,4.1,45,15,SP98,0,0,0
15.4,4.9,55,18,SP98,0,0,0
15.4,4.3,39,23,SP98,0,0,0
16.0,3.9,35,18,SP98,0,0,0
15.4,4.5,52,26,SP98,0,0,0
16.6,4.1,48,30,SP98,1,0,1
15.4,5.0,48,31,SP98,1,0,0
16.0,4.0,43,21,SP98,1,0,0
15.4,4.5,42,30,SP98,0,0,0
16.0,3.6,43,19,SP98,0,0,0
20.9,4.1,33,21,SP98,0,0,0
32.1,3.9,47,26,SP98,0,0,0
15.3,6.6,16,27,SP98,1,0,0
28.5,4.0,44,23,SP98,1,0,0
11.9,3.7,33,19,SP98,0,0,0
14.5,4.3,36,22,SP98,0,0,0
16.6,4.1,49,26,SP98,0,0,1
16.2,4.4,39,17,SP98,1,0,0
16.7,3.8,44,23,SP98,0,0,1
8.3,5.0,52,27,SP98,0,0,0
5.5,3.7,33,28,SP98,0,0,1
13.6,3.7,33,28,SP98,0,0,1
16.0,3.7,39,18,SP98,0,0,0
16.1,4.3,38,31,SP98,1,0,0
16.0,3.8,45,19,SP98,0,0,0
15.4,4.6,42,31,SP98,1,0,0
14.7,5.0,25,30,SP98,1,0,0
