,distance,consume,speed,temp_inside,temp_outside,specials,gas_type,AC,rain,sun,refill liters,refill gas,km_absolute,Consume_ac,consume_ac
0,28.0,5.0,26,21.5,12.0,0,E10,0,0,0,45.0,E10,28.0,5.0,5.0
1,12.0,4.2,30,21.5,13.0,0,E10,0,0,0,0.0,0,40.0,9.2,9.2
2,11.2,5.5,38,21.5,15.0,0,E10,0,0,0,0.0,0,51.2,14.7,14.7
3,12.9,3.9,36,21.5,14.0,0,E10,0,0,0,0.0,0,64.10000000000001,18.599999999999998,18.599999999999998
4,18.5,4.5,46,21.5,15.0,0,E10,0,0,0,0.0,0,82.60000000000001,23.099999999999998,23.099999999999998
5,8.3,6.4,50,21.5,10.0,0,E10,0,0,0,0.0,0,90.9,29.5,29.5
6,7.8,4.4,43,21.5,11.0,0,E10,0,0,0,0.0,0,98.7,33.9,33.9
7,12.3,5.0,40,21.5,6.0,0,E10,0,0,0,0.0,0,111.0,38.9,38.9
8,4.9,6.4,26,21.5,4.0,0,E10,0,0,0,0.0,0,115.9,45.3,45.3
9,11.9,5.3,30,21.5,9.0,0,E10,0,0,0,0.0,0,127.80000000000001,50.599999999999994,50.599999999999994
10,12.4,5.6,42,21.5,4.0,0,E10,0,0,0,0.0,0,140.20000000000002,56.199999999999996,56.199999999999996
11,11.8,4.6,38,21.5,0.0,0,E10,0,0,0,0.0,0,152.00000000000003,60.8,60.8
12,12.3,5.9,59,21.5,10.0,0,E10,0,0,0,0.0,0,164.30000000000004,66.7,66.7
13,24.7,5.1,58,21.5,12.0,0,E10,0,0,0,0.0,0,189.00000000000003,71.8,71.8
14,12.4,4.7,46,21.5,11.0,0,E10,0,0,0,0.0,0,201.40000000000003,76.5,76.5
15,17.3,5.1,24,21.5,5.0,0,E10,0,0,0,0.0,0,218.70000000000005,81.6,81.6
16,33.4,5.6,36,21.5,3.0,0,E10,0,0,0,0.0,0,252.10000000000005,87.19999999999999,87.19999999999999
17,11.8,5.1,32,21.5,3.0,0,E10,0,0,0,0.0,0,263.90000000000003,92.29999999999998,92.29999999999998
18,25.9,4.9,39,21.5,8.0,0,E10,0,0,0,0.0,0,289.8,97.19999999999999,97.19999999999999
19,11.8,4.7,40,21.5,4.0,0,E10,0,0,0,0.0,0,301.6,101.89999999999999,101.89999999999999
20,25.3,5.5,32,21.5,3.0,0,E10,0,0,0,0.0,0,326.90000000000003,107.39999999999999,107.39999999999999
21,14.2,5.9,38,21.5,1.0,0,E10,0,0,0,0.0,0,341.1,113.3,113.3
22,17.9,5.7,37,21.5,1.0,0,E10,0,0,0,0.0,0,359.0,119.0,119.0
23,11.8,4.7,36,21.5,1.0,0,E10,0,0,0,0.0,0,370.8,123.7,123.7
24,12.3,5.9,62,21.5,6.0,0,E10,0,0,0,0.0,0,383.1,129.6,129.6
25,12.4,4.1,57,21.5,9.0,0,E10,0,0,0,0.0,0,395.5,133.7,133.7
26,18.4,5.7,21,22.5,2.0,0,E10,0,0,0,0.0,0,413.9,139.39999999999998,139.39999999999998
27,18.4,5.8,28,21.5,3.0,0,E10,0,0,0,0.0,0,432.29999999999995,145.2,145.2
28,18.3,5.5,29,21.5,1.0,0,E10,0,0,0,0.0,0,450.59999999999997,150.7,150.7
29,18.4,5.7,35,21.5,4.0,0,E10,0,0,0,0.0,0,468.99999999999994,156.39999999999998,156.39999999999998
30,12.3,5.3,51,21.5,11.0,0,E10,0,0,0,0.0,0,481.29999999999995,161.7,161.7
31,11.8,5.0,29,21.5,10.0,0,E10,0,0,0,0.0,0,493.09999999999997,166.7,166.7
32,12.3,5.6,58,21.5,8.0,0,E10,0,0,0,0.0,0,505.4,172.29999999999998,172.29999999999998
33,32.6,4.8,40,21.5,7.0,0,E10,0,0,0,0.0,0,538.0,177.1,177.1
34,19.0,4.3,36,21.5,7.0,0,E10,0,0,0,0.0,0,557.0,181.4,181.4
35,12.1,5.7,36,21.5,8.0,0,E10,0,0,0,0.0,0,569.1,187.1,187.1
36,20.0,5.2,37,21.5,4.0,0,E10,0,0,0,0.0,0,589.1,192.29999999999998,192.29999999999998
37,4.9,7.4,26,21.5,6.0,0,E10,0,0,0,0.0,0,594.0,199.7,199.7
38,11.8,4.8,23,21.5,9.0,0,E10,0,0,0,0.0,0,605.8,204.5,204.5
39,12.3,6.5,58,21.5,7.0,0,E10,0,0,0,0.0,0,618.0999999999999,211.0,211.0
40,12.4,4.0,55,21.5,7.0,AC rain,E10,1,1,0,0.0,0,630.4999999999999,215.0,215.0
41,4.5,5.0,29,21.5,7.0,AC,E10,1,0,0,0.0,0,634.9999999999999,220.0,220.0
42,11.7,4.6,37,21.5,6.0,0,E10,0,0,0,0.0,0,646.6999999999999,224.6,224.6
43,10.2,4.3,44,21.5,7.0,0,E10,0,0,0,0.0,0,656.9,228.9,228.9
44,5.4,3.3,32,21.5,7.0,0,SP98,0,0,0,37.6,SP98,662.3,232.20000000000002,232.20000000000002
45,2.0,9.9,21,21.5,4.0,0,SP98,0,0,0,0.0,0,664.3,242.10000000000002,242.10000000000002
46,14.2,5.1,32,21.5,7.0,0,SP98,0,0,0,0.0,0,678.5,247.20000000000002,247.20000000000002
47,16.0,4.9,25,21.5,8.0,0,SP98,0,0,0,0.0,0,694.5,252.10000000000002,252.10000000000002
48,11.8,4.9,25,21.5,11.0,0,SP98,0,0,0,0.0,0,706.3,257.0,257.0
49,27.3,4.7,36,21.5,10.0,0,SP98,0,0,0,0.0,0,733.5999999999999,261.7,261.7
50,11.8,5.1,29,21.5,5.0,rain,SP98,0,1,0,0.0,0,745.3999999999999,266.8,266.8
51,10.6,4.9,63,21.5,6.0,0,SP98,0,0,0,0.0,0,755.9999999999999,271.7,271.7
52,11.6,4.2,61,21.5,7.0,0,SP98,0,0,0,0.0,0,767.5999999999999,275.9,275.9
53,13.1,6.1,46,21.5,6.0,rain,SP98,0,1,0,0.0,0,780.6999999999999,282.0,282.0
54,6.1,6.4,28,21.5,8.0,0,SP98,0,0,0,0.0,0,786.8,288.4,288.4
55,153.5,4.9,82,21.5,3.0,rain,SP98,0,1,0,0.0,0,940.3,293.29999999999995,293.29999999999995
56,11.8,4.9,24,21.5,7.0,0,SP98,0,0,0,0.0,0,952.0999999999999,298.19999999999993,298.19999999999993
57,12.3,6.2,61,21.5,8.0,0,SP98,0,0,0,0.0,0,964.3999999999999,304.3999999999999,304.3999999999999
58,12.4,4.2,57,21.5,8.0,0,SP98,0,0,0,0.0,0,976.7999999999998,308.5999999999999,308.5999999999999
59,12.3,5.7,52,21.5,8.0,rain,SP98,0,1,0,0.0,0,989.0999999999998,314.2999999999999,314.2999999999999
60,2.9,7.9,18,21.5,9.0,AC rain,SP98,1,1,0,0.0,0,991.9999999999998,322.1999999999999,322.1999999999999
61,2.1,12.2,23,21.5,9.0,0,SP98,1,1,0,0.0,0,994.0999999999998,334.39999999999986,334.39999999999986
62,9.8,5.8,24,21.5,6.0,0,SP98,0,0,0,0.0,0,1003.8999999999997,340.1999999999999,340.1999999999999
63,6.8,5.3,26,21.5,6.0,0,SP98,0,0,0,0.0,0,1010.6999999999997,345.4999999999999,345.4999999999999
64,12.4,5.4,24,21.5,7.0,0,SP98,0,0,0,0.0,0,1023.0999999999997,350.89999999999986,350.89999999999986
65,12.4,4.7,57,21.5,8.0,0,SP98,0,0,0,0.0,0,1035.4999999999998,355.59999999999985,355.59999999999985
66,11.8,4.6,41,21.5,6.0,0,SP98,0,0,0,0.0,0,1047.2999999999997,360.1999999999999,360.1999999999999
67,12.3,5.4,55,21.5,8.0,0,SP98,0,0,0,0.0,0,1059.5999999999997,365.59999999999985,365.59999999999985
68,14.0,4.3,40,21.5,8.0,0,SP98,0,0,0,0.0,0,1073.5999999999997,369.89999999999986,369.89999999999986
69,11.8,4.5,37,21.5,4.0,AC,SP98,1,0,0,0.0,0,1085.3999999999996,374.39999999999986,374.39999999999986
70,12.3,5.2,55,21.5,12.0,0,SP98,0,0,0,0.0,0,1097.6999999999996,379.59999999999985,379.59999999999985
71,2.0,6.2,20,21.5,10.0,0,SP98,0,0,0,0.0,0,1099.6999999999996,385.79999999999984,385.79999999999984
72,13.9,5.1,29,21.5,6.0,0,SP98,0,0,0,0.0,0,1113.5999999999997,390.89999999999986,390.89999999999986
73,9.7,3.9,42,21.5,8.0,0,SP98,0,0,0,0.0,0,1123.2999999999997,394.79999999999984,394.79999999999984
74,11.6,5.0,25,21.5,6.0,0,SP98,0,0,0,0.0,0,1134.8999999999996,399.79999999999984,399.79999999999984
75,14.2,5.4,38,21.5,7.0,0,SP98,0,0,0,0.0,0,1149.0999999999997,405.1999999999998,405.1999999999998
76,11.8,4.5,39,21.5,6.0,0,SP98,0,0,0,0.0,0,1160.8999999999996,409.6999999999998,409.6999999999998
77,24.8,5.1,50,21.5,9.0,0,SP98,0,0,0,0.0,0,1185.6999999999996,414.79999999999984,414.79999999999984
78,12.4,4.7,56,21.5,7.0,0,SP98,0,0,0,0.0,0,1198.0999999999997,419.49999999999983,419.49999999999983
79,34.8,4.0,28,20.0,4.0,0,SP98,0,0,0,0.0,0,1232.8999999999996,423.49999999999983,423.49999999999983
80,14.2,5.4,36,20.0,6.0,0,SP98,0,0,0,0.0,0,1247.0999999999997,428.8999999999998,428.8999999999998
81,5.2,4.5,39,20.0,10.0,0,SP98,0,0,0,0.0,0,1252.2999999999997,433.3999999999998,433.3999999999998
82,10.5,3.6,42,20.0,10.0,0,SP98,0,0,0,37.7,SP98,1262.7999999999997,436.99999999999983,436.99999999999983
83,12.3,5.2,57,20.0,10.0,0,SP98,0,0,0,0.0,0,1275.0999999999997,442.1999999999998,442.1999999999998
84,11.8,4.9,25,20.0,11.0,0,SP98,0,0,0,0.0,0,1286.8999999999996,447.0999999999998,447.0999999999998
85,12.3,6.2,58,20.0,11.0,rain,SP98,0,1,0,0.0,0,1299.1999999999996,453.2999999999998,453.2999999999998
86,13.2,4.3,51,20.0,11.0,rain,SP98,0,1,0,0.0,0,1312.3999999999996,457.5999999999998,457.5999999999998
87,13.0,5.0,45,20.0,11.0,rain,SP98,0,1,0,0.0,0,1325.3999999999996,462.5999999999998,462.5999999999998
88,12.9,5.1,32,20.0,11.0,0,SP98,0,0,0,0.0,0,1338.2999999999997,467.6999999999998,467.6999999999998
89,13.9,5.6,22,20.0,8.0,0,SP98,0,0,0,0.0,0,1352.1999999999998,473.29999999999984,473.29999999999984
90,11.8,4.3,37,20.0,6.0,0,SP98,0,0,0,0.0,0,1363.9999999999998,477.59999999999985,477.59999999999985
91,12.2,5.8,60,20.0,11.0,0,SP98,0,0,0,0.0,0,1376.1999999999998,483.39999999999986,483.39999999999986
92,12.5,4.0,51,20.0,13.0,0,SP98,0,0,0,0.0,0,1388.6999999999998,487.39999999999986,487.39999999999986
93,12.4,4.7,43,0.0,10.0,0,SP98,0,0,0,0.0,0,1401.1,492.09999999999985,492.09999999999985
94,11.8,5.9,21,20.0,9.0,AC rain,SP98,1,1,0,0.0,0,1412.8999999999999,497.99999999999983,497.99999999999983
95,11.8,5.3,52,0.0,11.0,0,SP98,0,0,0,0.0,0,1424.6999999999998,503.29999999999984,503.29999999999984
96,12.5,4.2,57,20.0,11.0,0,SP98,0,0,0,0.0,0,1437.1999999999998,507.49999999999983,507.49999999999983
97,15.7,5.3,33,0.0,9.0,0,SP98,0,0,0,0.0,0,1452.8999999999999,512.7999999999998,512.7999999999998
98,12.9,5.7,35,0.0,9.0,0,SP98,0,0,0,0.0,0,1465.8,518.4999999999999,518.4999999999999
99,6.4,4.4,37,0.0,10.0,0,SP98,0,0,0,0.0,0,1472.2,522.8999999999999,522.8999999999999
100,5.3,4.1,34,0.0,9.0,0,SP98,0,0,0,0.0,0,1477.5,526.9999999999999,526.9999999999999
101,26.2,5.8,71,21.0,8.0,AC rain,SP98,1,1,0,0.0,0,1503.7,532.7999999999998,532.7999999999998
102,18.8,5.0,62,0.0,9.0,rain,SP98,0,1,0,0.0,0,1522.5,537.7999999999998,537.7999999999998
103,4.9,6.9,25,21.0,12.0,rain,SP98,0,1,0,0.0,0,1527.4,544.6999999999998,544.6999999999998
104,12.4,5.4,18,21.0,11.0,AC rain,SP98,1,1,0,0.0,0,1539.8000000000002,550.0999999999998,550.0999999999998
105,22.9,5.3,45,20.5,7.0,0,SP98,0,0,0,0.0,0,1562.7000000000003,555.3999999999997,555.3999999999997
106,162.7,5.5,75,23.0,1.0,0,SP98,0,0,0,45.0,SP98,1725.4000000000003,560.8999999999997,560.8999999999997
107,4.9,6.5,26,21.0,1.0,0,SP98,0,0,0,0.0,0,1730.3000000000004,567.3999999999997,567.3999999999997
108,11.8,4.7,36,21.0,4.0,0,SP98,0,0,0,0.0,0,1742.1000000000004,572.0999999999998,572.0999999999998
109,16.6,5.1,56,21.0,7.0,0,SP98,0,0,0,0.0,0,1758.7000000000003,577.1999999999998,577.1999999999998
110,12.4,5.7,37,21.0,7.0,0,SP98,0,0,0,0.0,0,1771.1000000000004,582.8999999999999,582.8999999999999
111,15.9,5.4,25,21.0,7.0,0,SP98,0,0,0,0.0,0,1787.0000000000005,588.2999999999998,588.2999999999998
112,5.1,8.7,21,23.5,5.0,0,SP98,0,0,0,0.0,0,1792.1000000000004,596.9999999999999,596.9999999999999
113,22.4,4.9,66,20.5,7.0,0,SP98,0,0,0,0.0,0,1814.5000000000005,601.8999999999999,601.8999999999999
114,31.1,4.7,42,20.5,7.0,0,SP98,0,0,0,0.0,0,1845.6000000000004,606.5999999999999,606.5999999999999
115,4.9,6.3,27,20.5,3.0,0,SP98,0,0,0,0.0,0,1850.5000000000005,612.8999999999999,612.8999999999999
116,11.8,5.1,26,23.0,4.0,rain,SP98,0,1,0,0.0,0,1862.3000000000004,617.9999999999999,617.9999999999999
117,22.9,6.0,42,23.0,4.0,rain,SP98,0,1,0,0.0,0,1885.2000000000005,623.9999999999999,623.9999999999999
118,12.4,4.6,38,23.0,1.0,snow,SP98,0,1,0,0.0,0,1897.6000000000006,628.5999999999999,628.5999999999999
119,12.9,5.8,40,23.0,4.0,0,SP98,0,0,0,0.0,0,1910.5000000000007,634.3999999999999,634.3999999999999
120,11.8,5.1,43,23.0,0.0,0,SP98,0,0,0,0.0,0,1922.3000000000006,639.4999999999999,639.4999999999999
121,12.2,5.8,58,23.0,2.0,0,SP98,0,0,0,0.0,0,1934.5000000000007,645.2999999999998,645.2999999999998
122,24.8,4.6,55,23.0,3.0,0,SP98,0,0,0,0.0,0,1959.3000000000006,649.8999999999999,649.8999999999999
123,14.2,5.6,24,23.0,8.0,0,SP98,0,0,0,0.0,0,1973.5000000000007,655.4999999999999,655.4999999999999
124,11.8,4.6,38,23.0,0.0,snow,SP98,0,1,0,0.0,0,1985.3000000000006,660.0999999999999,660.0999999999999
125,12.2,6.3,57,23.0,0.0,snow,SP98,0,1,0,0.0,0,1997.5000000000007,666.3999999999999,666.3999999999999
126,24.7,5.5,56,25.0,1.0,0,SP98,0,0,0,0.0,0,2022.2000000000007,671.8999999999999,671.8999999999999
127,6.8,4.3,46,24.0,2.0,0,SP98,0,0,0,0.0,0,2029.0000000000007,676.1999999999998,676.1999999999998
128,17.3,5.6,37,21.5,1.0,0,SP98,0,0,0,0.0,0,2046.3000000000006,681.7999999999998,681.7999999999998
129,11.8,4.3,44,21.5,-3.0,0,SP98,0,0,0,0.0,0,2058.100000000001,686.0999999999998,686.0999999999998
130,15.9,5.7,46,21.5,5.0,0,SP98,0,0,0,0.0,0,2074.000000000001,691.7999999999998,691.7999999999998
131,5.1,6.4,39,21.5,4.0,0,SP98,0,0,0,0.0,0,2079.100000000001,698.1999999999998,698.1999999999998
132,16.1,4.5,33,21.5,6.0,0,SP98,0,0,0,0.0,0,2095.2000000000007,702.6999999999998,702.6999999999998
133,11.8,4.5,43,21.5,3.0,0,SP98,0,0,0,0.0,0,2107.000000000001,707.1999999999998,707.1999999999998
134,4.2,6.0,26,21.5,5.0,0,SP98,0,0,0,0.0,0,2111.2000000000007,713.1999999999998,713.1999999999998
135,17.4,5.1,30,21.5,5.0,0,SP98,0,0,0,0.0,0,2128.600000000001,718.2999999999998,718.2999999999998
136,23.5,6.0,25,21.5,5.0,rain,SP98,0,1,0,0.0,0,2152.100000000001,724.2999999999998,724.2999999999998
137,11.8,4.5,38,21.5,5.0,rain,SP98,0,1,0,0.0,0,2163.900000000001,728.7999999999998,728.7999999999998
138,12.3,6.1,61,21.5,10.0,rain,SP98,0,1,0,0.0,0,2176.200000000001,734.8999999999999,734.8999999999999
139,16.1,5.4,24,21.5,7.0,rain,E10,0,1,0,38.0,E10,2192.300000000001,740.2999999999998,740.2999999999998
140,11.8,4.3,40,21.5,10.0,rain,E10,0,1,0,0.0,0,2204.1000000000013,744.5999999999998,744.5999999999998
141,12.3,5.4,58,21.5,13.0,0,E10,0,0,0,0.0,0,2216.4000000000015,749.9999999999998,749.9999999999998
142,12.4,4.3,49,21.5,17.0,0,E10,0,0,0,0.0,0,2228.8000000000015,754.2999999999997,754.2999999999997
143,7.0,5.2,25,21.5,17.0,0,E10,0,0,0,0.0,0,2235.8000000000015,759.4999999999998,759.4999999999998
144,11.8,4.1,37,21.5,10.0,0,E10,0,0,0,0.0,0,2247.6000000000017,763.5999999999998,763.5999999999998
145,20.1,4.4,41,21.5,18.0,0,E10,0,0,0,0.0,0,2267.7000000000016,767.9999999999998,767.9999999999998
146,20.8,4.5,45,21.5,10.0,0,E10,0,0,0,0.0,0,2288.500000000002,772.4999999999998,772.4999999999998
147,1.7,10.8,14,21.5,10.0,rain,E10,0,1,0,0.0,0,2290.2000000000016,783.2999999999997,783.2999999999997
148,35.9,4.7,45,21.5,12.0,0,E10,0,0,0,0.0,0,2326.1000000000017,787.9999999999998,787.9999999999998
149,36.9,4.8,52,21.5,5.0,0,E10,0,0,0,0.0,0,2363.000000000002,792.7999999999997,792.7999999999997
150,16.8,4.0,46,21.5,8.0,0,E10,0,0,0,0.0,0,2379.800000000002,796.7999999999997,796.7999999999997
151,9.9,5.0,28,21.5,9.0,0,E10,0,0,0,0.0,0,2389.700000000002,801.7999999999997,801.7999999999997
152,22.9,4.6,61,21.5,7.0,rain,E10,0,1,0,0.0,0,2412.600000000002,806.3999999999997,806.3999999999997
153,17.3,5.0,61,21.5,6.0,AC rain,E10,1,1,0,0.0,0,2429.9000000000024,811.3999999999997,811.3999999999997
154,11.8,4.3,37,21.5,7.0,0,E10,0,0,0,0.0,0,2441.7000000000025,815.6999999999997,815.6999999999997
155,36.6,5.2,80,21.5,7.0,rain,E10,0,1,0,0.0,0,2478.3000000000025,820.8999999999997,820.8999999999997
156,44.9,4.7,62,21.5,8.0,0,E10,0,0,0,0.0,0,2523.2000000000025,825.5999999999998,825.5999999999998
157,11.8,4.2,34,21.5,9.0,rain,E10,0,1,0,0.0,0,2535.0000000000027,829.7999999999998,829.7999999999998
158,21.6,5.3,44,21.5,9.0,rain,E10,0,1,0,0.0,0,2556.6000000000026,835.0999999999998,835.0999999999998
159,39.4,5.3,60,21.5,9.0,rain,E10,0,1,0,0.0,0,2596.0000000000027,840.3999999999997,840.3999999999997
160,5.1,8.1,39,21.5,4.0,0,E10,0,0,0,0.0,0,2601.1000000000026,848.4999999999998,848.4999999999998
161,26.6,4.8,38,21.5,7.0,0,E10,0,0,0,0.0,0,2627.7000000000025,853.2999999999997,853.2999999999997
162,53.2,5.1,71,21.5,2.0,0,E10,0,0,0,0.0,0,2680.9000000000024,858.3999999999997,858.3999999999997
163,18.9,4.4,53,21.5,2.0,0,E10,0,0,0,0.0,0,2699.8000000000025,862.7999999999997,862.7999999999997
164,43.5,5.0,80,21.5,3.0,0,E10,0,0,0,0.0,0,2743.3000000000025,867.7999999999997,867.7999999999997
165,6.1,6.3,26,21.5,5.0,0,E10,0,0,0,0.0,0,2749.4000000000024,874.0999999999997,874.0999999999997
166,16.4,4.8,49,21.5,5.0,0,E10,0,0,0,0.0,0,2765.8000000000025,878.8999999999996,878.8999999999996
167,12.3,6.1,40,21.5,6.0,0,E10,0,0,0,0.0,0,2778.1000000000026,884.9999999999997,884.9999999999997
168,21.1,4.6,36,21.5,8.0,0,E10,0,0,0,0.0,0,2799.2000000000025,889.5999999999997,889.5999999999997
169,21.1,4.8,43,21.5,7.0,0,E10,0,0,0,0.0,0,2820.3000000000025,894.3999999999996,894.3999999999996
170,22.7,4.7,55,21.5,6.0,0,E10,0,0,0,0.0,0,2843.0000000000023,899.0999999999997,899.0999999999997
171,44.4,4.8,38,21.5,8.0,0,E10,0,0,0,38.3,E10,2887.4000000000024,903.8999999999996,903.8999999999996
172,35.8,4.4,51,21.5,6.0,0,E10,0,0,0,0.0,0,2923.2000000000025,908.2999999999996,908.2999999999996
173,11.8,4.9,44,21.5,0.0,0,E10,0,0,0,0.0,0,2935.0000000000027,913.1999999999996,913.1999999999996
174,26.2,4.9,42,21.5,6.0,0,E10,0,0,0,0.0,0,2961.2000000000025,918.0999999999996,918.0999999999996
175,40.6,4.4,44,21.0,3.0,0,E10,0,0,0,0.0,0,3001.8000000000025,922.4999999999995,922.4999999999995
176,12.4,5.3,38,21.0,-5.0,0,E10,0,0,0,0.0,0,3014.2000000000025,927.7999999999995,927.7999999999995
177,14.1,5.3,47,21.0,-3.0,0,E10,0,0,0,0.0,0,3028.3000000000025,933.0999999999995,933.0999999999995
178,58.7,4.8,75,21.0,0.0,0,E10,0,0,0,0.0,0,3087.0000000000023,937.8999999999994,937.8999999999994
179,16.2,5.2,29,21.0,0.0,0,E10,0,0,0,0.0,0,3103.200000000002,943.0999999999995,943.0999999999995
180,12.3,4.9,50,22.5,0.0,0,E10,0,0,0,0.0,0,3115.5000000000023,947.9999999999994,947.9999999999994
181,12.3,7.1,52,22.5,0.0,AC snow,E10,1,1,0,0.0,0,3127.8000000000025,955.0999999999995,955.0999999999995
182,12.4,5.2,51,22.5,1.0,0,E10,0,0,0,0.0,0,3140.2000000000025,960.2999999999995,960.2999999999995
183,31.8,4.7,59,22.5,3.0,0,E10,0,0,0,0.0,0,3172.0000000000027,964.9999999999995,964.9999999999995
184,12.3,5.1,55,22.5,8.0,0,E10,0,0,0,0.0,0,3184.300000000003,970.0999999999996,970.0999999999996
185,51.6,5.0,73,22.5,12.0,0,E10,0,0,0,0.0,0,3235.900000000003,975.0999999999996,975.0999999999996
186,38.6,4.6,44,22.5,10.0,0,E10,0,0,0,0.0,0,3274.5000000000027,979.6999999999996,979.6999999999996
187,12.3,4.8,41,22.5,7.0,0,E10,0,0,0,0.0,0,3286.800000000003,984.4999999999995,984.4999999999995
188,81.2,4.4,69,22.0,13.0,0,E10,0,0,0,0.0,0,3368.0000000000027,988.8999999999995,988.8999999999995
189,130.3,4.6,85,22.0,12.0,0,E10,0,0,0,0.0,0,3498.300000000003,993.4999999999995,993.4999999999995
190,67.2,4.3,67,22.0,18.0,0,E10,0,0,0,0.0,0,3565.5000000000027,997.7999999999995,997.7999999999995
191,43.7,4.7,44,22.0,9.0,half rain half sun,SP98,0,1,0,10.0,SP98,3609.2000000000025,1002.4999999999995,1002.4999999999995
192,12.1,4.2,43,22.0,4.0,0,SP98,0,0,0,39.0,SP98,3621.3000000000025,1006.6999999999996,1006.6999999999996
193,56.1,4.8,82,22.0,13.0,0,SP98,0,0,0,0.0,0,3677.4000000000024,1011.4999999999995,1011.4999999999995
194,39.0,4.1,61,22.0,16.0,0,SP98,0,0,0,0.0,0,3716.4000000000024,1015.5999999999996,1015.5999999999996
195,11.8,4.5,41,21.5,13.0,0,SP98,0,0,0,0.0,0,3728.2000000000025,1020.0999999999996,1020.0999999999996
196,38.5,4.8,63,21.5,14.0,0,SP98,0,0,0,0.0,0,3766.7000000000025,1024.8999999999996,1024.8999999999996
197,28.2,4.6,54,21.5,14.0,0,SP98,0,0,0,0.0,0,3794.9000000000024,1029.4999999999995,1029.4999999999995
