distance,consume,speed,temp_outside,ac,rain,sun
28.0,5.0,26,12,0,0,0
12.0,4.2,30,13,0,0,0
11.2,5.5,38,15,0,0,0
12.9,3.9,36,14,0,0,0
18.5,4.5,46,15,0,0,0
8.3,6.4,50,10,0,0,0
7.8,4.4,43,11,0,0,0
12.3,5.0,40,6,0,0,0
4.9,6.4,26,4,0,0,0
11.9,5.3,30,9,0,0,0
12.4,5.6,42,4,0,0,0
11.8,4.6,38,0,0,0,0
12.3,5.9,59,10,0,0,0
24.7,5.1,58,12,0,0,0
12.4,4.7,46,11,0,0,0
17.3,5.1,24,5,0,0,0
33.4,5.6,36,3,0,0,0
11.8,5.1,32,3,0,0,0
25.9,4.9,39,8,0,0,0
11.8,4.7,40,4,0,0,0
25.3,5.5,32,3,0,0,0
14.2,5.9,38,1,0,0,0
17.9,5.7,37,1,0,0,0
11.8,4.7,36,1,0,0,0
12.3,5.9,62,6,0,0,0
12.4,4.1,57,9,0,0,0
18.4,5.7,21,2,0,0,0
18.4,5.8,28,3,0,0,0
18.3,5.5,29,1,0,0,0
18.4,5.7,35,4,0,0,0
12.3,5.3,51,11,0,0,0
11.8,5.0,29,10,0,0,0
12.3,5.6,58,8,0,0,0
32.6,4.8,40,7,0,0,0
19.0,4.3,36,7,0,0,0
12.1,5.7,36,8,0,0,0
20.0,5.2,37,4,0,0,0
4.9,7.4,26,6,0,0,0
11.8,4.8,23,9,0,0,0
12.3,6.5,58,7,0,0,0
12.4,4.0,55,7,1,1,0
4.5,5.0,29,7,1,0,0
11.7,4.6,37,6,0,0,0
10.2,4.3,44,7,0,0,0
16.1,5.4,24,7,0,1,0
11.8,4.3,40,10,0,1,0
12.3,5.4,58,13,0,0,0
12.4,4.3,49,17,0,0,0
7.0,5.2,25,17,0,0,0
11.8,4.1,37,10,0,0,0
20.1,4.4,41,18,0,0,0
20.8,4.5,45,10,0,0,0
1.7,10.8,14,10,0,1,0
35.9,4.7,45,12,0,0,0
36.9,4.8,52,5,0,0,0
16.8,4.0,46,8,0,0,0
9.9,5.0,28,9,0,0,0
22.9,4.6,61,7,0,1,0
17.3,5.0,61,6,1,1,0
11.8,4.3,37,7,0,0,0
36.6,5.2,80,7,0,1,0
44.9,4.7,62,8,0,0,0
11.8,4.2,34,9,0,1,0
21.6,5.3,44,9,0,1,0
39.4,5.3,60,9,0,1,0
5.1,8.1,39,4,0,0,0
26.6,4.8,38,7,0,0,0
53.2,5.1,71,2,0,0,0
18.9,4.4,53,2,0,0,0
43.5,5.0,80,3,0,0,0
6.1,6.3,26,5,0,0,0
16.4,4.8,49,5,0,0,0
12.3,6.1,40,6,0,0,0
21.1,4.6,36,8,0,0,0
21.1,4.8,43,7,0,0,0
22.7,4.7,55,6,0,0,0
44.4,4.8,38,8,0,0,0
35.8,4.4,51,6,0,0,0
11.8,4.9,44,0,0,0,0
26.2,4.9,42,6,0,0,0
40.6,4.4,44,3,0,0,0
12.4,5.3,38,-5,0,0,0
14.1,5.3,47,-3,0,0,0
58.7,4.8,75,0,0,0,0
16.2,5.2,29,0,0,0,0
12.3,4.9,50,0,0,0,0
12.3,7.1,52,0,1,1,0
12.4,5.2,51,1,0,0,0
31.8,4.7,59,3,0,0,0
12.3,5.1,55,8,0,0,0
51.6,5.0,73,12,0,0,0
38.6,4.6,44,10,0,0,0
12.3,4.8,41,7,0,0,0
81.2,4.4,69,13,0,0,0
130.3,4.6,85,12,0,0,0
67.2,4.3,67,18,0,0,0
19.0,4.5,29,10,0,0,0
12.4,4.8,38,1,0,0,0
25.2,5.0,55,9,0,0,0
14.3,4.8,36,10,0,0,0
11.8,4.6,40,2,0,0,0
16.9,4.5,48,9,0,0,1
12.4,4.6,55,11,0,0,1
17.4,4.4,36,12,0,0,1
9.2,5.7,33,8,0,1,0
12.3,5.8,54,10,0,1,0
13.0,5.9,32,10,0,0,0
11.8,6.1,16,6,0,1,0
13.0,5.7,37,11,0,1,0
12.3,5.0,42,10,0,0,0
12.3,5.2,57,15,0,0,1
12.5,4.3,57,16,0,0,1
31.5,4.1,30,16,0,0,1
11.8,4.4,42,8,0,0,0
24.9,4.5,53,14,0,0,0
17.0,3.9,46,14,0,0,1
2.0,8.1,20,14,0,0,0
11.8,4.4,33,8,0,0,0
7.4,5.0,31,12,0,0,0
12.4,4.7,55,14,0,0,1
2.0,6.0,22,14,0,0,0
14.0,5.0,41,8,0,0,0
25.7,5.0,45,7,0,0,0
24.5,3.9,50,15,0,0,1
11.8,4.5,28,12,0,0,0
4.1,5.4,24,13,0,0,0
4.2,5.6,29,17,0,0,0
4.2,3.9,29,18,0,0,1
16.0,4.0,40,10,0,0,0
22.9,4.0,29,21,0,0,0
16.0,3.8,42,8,0,0,0
15.4,4.5,50,14,0,0,0
16.0,3.8,41,12,0,0,0
4.2,5.6,32,18,0,0,0
101.9,5.2,75,18,0,0,0
93.9,4.8,88,18,1,0,1
16.6,3.7,49,17,0,0,0
15.4,4.5,43,24,0,0,0
16.5,3.9,43,17,0,0,0
15.4,5.1,21,24,0,0,0
18.4,4.2,59,24,0,0,0
39.5,4.2,58,25,0,0,0
21.5,4.8,47,27,1,0,1
4.8,4.7,26,18,0,0,0
100.9,4.7,87,22,0,0,0
129.7,4.6,58,21,0,0,0
16.6,3.8,43,16,0,0,0
15.4,4.2,50,21,0,0,0
16.0,3.7,45,17,0,0,0
16.0,4.2,41,15,0,0,0
15.4,4.1,45,24,0,0,0
16.0,4.0,43,16,0,0,0
21.0,3.8,37,21,0,0,0
15.4,3.8,47,24,0,0,0
16.0,3.8,42,17,0,0,0
16.1,5.1,30,16,1,1,0
16.0,4.0,42,15,0,0,0
15.4,4.8,40,18,0,0,0
17.2,3.9,35,16,0,0,0
16.6,4.6,50,25,0,0,0
